date,province,region,variable,value
1/1/2019,Bangkok,central,ratio_tourist_stay,93.37
1/1/2019,Lopburi ,central,ratio_tourist_stay,61.32
1/1/2019,Phra Nakhon Si Ayutthaya ,central,ratio_tourist_stay,73.37
1/1/2019,Saraburi ,central,ratio_tourist_stay,67.33
1/1/2019,Chainat ,central,ratio_tourist_stay,79.31
1/1/2019,Nakhon Pathom ,central,ratio_tourist_stay,71.7
1/1/2019,Sing Buri ,central,ratio_tourist_stay,64.65
1/1/2019,Ang Thong ,central,ratio_tourist_stay,71.21
1/1/2019,Nonthaburi ,central,ratio_tourist_stay,75.07
1/1/2019,Pathum Thani ,central,ratio_tourist_stay,60.77
1/1/2019,Samut Prakan ,central,ratio_tourist_stay,72.5
1/1/2019,Samut Sakhon ,central,ratio_tourist_stay,61.64
1/1/2019,Chachoengsao ,east,ratio_tourist_stay,59.4
1/1/2019,Ratchaburi ,central,ratio_tourist_stay,75.09
1/1/2019,Kanchanaburi ,central,ratio_tourist_stay,83.8
1/1/2019,Samut Songkhram ,central,ratio_tourist_stay,75.6
1/1/2019,Suphan Buri ,central,ratio_tourist_stay,89.43
1/1/2019,Phetchaburi ,central,ratio_tourist_stay,81.2
1/1/2019,Prachuap Khiri Khan ,central,ratio_tourist_stay,64.55
1/1/2019,Chonburi ,east,ratio_tourist_stay,84.33
1/1/2019,Chanthaburi ,east,ratio_tourist_stay,68.86
1/1/2019,Trat ,east,ratio_tourist_stay,80.48
1/1/2019,Nakhon Nayok ,east,ratio_tourist_stay,68.39
1/1/2019,Prachinburi ,east,ratio_tourist_stay,68.57
1/1/2019,Rayong ,east,ratio_tourist_stay,70.11
1/1/2019,Sa Kaeo ,east,ratio_tourist_stay,56.69
1/1/2019,Phuket ,south,ratio_tourist_stay,86.05
1/1/2019,Phatthalung ,south,ratio_tourist_stay,68.66
1/1/2019,Trang ,south,ratio_tourist_stay,72.3
1/1/2019,Ranong ,south,ratio_tourist_stay,59.33
1/1/2019,Chumphon ,south,ratio_tourist_stay,61.94
1/1/2019,Pattani ,south,ratio_tourist_stay,78.47
1/1/2019,Yala ,south,ratio_tourist_stay,52.53
1/1/2019,Nakhon Si Thammarat ,south,ratio_tourist_stay,59.84
1/1/2019,Narathiwat ,south,ratio_tourist_stay,63.95
1/1/2019,Krabi ,south,ratio_tourist_stay,81.62
1/1/2019,Songkhla ,south,ratio_tourist_stay,74.85
1/1/2019,Phang Nga ,south,ratio_tourist_stay,86.51
1/1/2019,Surat Thani ,south,ratio_tourist_stay,75.59
1/1/2019,Satun ,south,ratio_tourist_stay,74.9
1/1/2019,Kamphaeng Phet ,north,ratio_tourist_stay,57.35
1/1/2019,Chiang Rai ,north,ratio_tourist_stay,81.25
1/1/2019,Chiang Mai ,north,ratio_tourist_stay,91.04
1/1/2019,Phichit ,north,ratio_tourist_stay,57.68
1/1/2019,Nakhon Sawan ,north,ratio_tourist_stay,63.54
1/1/2019,Tak ,north,ratio_tourist_stay,76.98
1/1/2019,Phitsanulok ,north,ratio_tourist_stay,71.52
1/1/2019,Phayao ,north,ratio_tourist_stay,69.37
1/1/2019,Phetchabun ,north,ratio_tourist_stay,74.46
1/1/2019,Phrae ,north,ratio_tourist_stay,67.14
1/1/2019,Lampang ,north,ratio_tourist_stay,77.39
1/1/2019,Lamphun ,north,ratio_tourist_stay,65.76
1/1/2019,Mae Hong Son ,north,ratio_tourist_stay,77.92
1/1/2019,Uttaradit ,north,ratio_tourist_stay,62.56
1/1/2019,Uthai Thani ,north,ratio_tourist_stay,51.56
1/1/2019,Sukhothai ,north,ratio_tourist_stay,73.09
1/1/2019,Nan ,north,ratio_tourist_stay,80.74
1/1/2019,Kalasin ,east_northeast,ratio_tourist_stay,55.76
1/1/2019,Khon Kaen ,east_northeast,ratio_tourist_stay,67.31
1/1/2019,Chaiyaphum ,east_northeast,ratio_tourist_stay,65.59
1/1/2019,Nakhon Phanom ,east_northeast,ratio_tourist_stay,65.42
1/1/2019,Nakhon Ratchasima ,east_northeast,ratio_tourist_stay,77.67
1/1/2019,Buriram ,east_northeast,ratio_tourist_stay,71.26
1/1/2019,Maha Sarakham ,east_northeast,ratio_tourist_stay,61.85
1/1/2019,Mukdahan ,east_northeast,ratio_tourist_stay,69.66
